Id,Source,Target,Type,Weight,SourceLat,SourceLong,TargetLat,TargetLong,EdgeLength,EdgeBearing,TrueEdgeBearing
0,55,163,Directed,1,32.2972,-90.213209,32.297159,-90.213681,146.3271657,-95.86716877,264
1,55,56,Directed,1,32.2972,-90.213209,32.296905,-90.213209,107.6266631,180,180
2,56,57,Directed,1,32.296905,-90.213209,32.296501,-90.213209,147.3934626,180,180
3,57,60,Directed,1,32.296501,-90.213209,32.296266,-90.213209,85.73640169,180,180
4,60,58,Directed,1,32.296266,-90.213209,32.296098,-90.213209,61.29248244,180,180
5,58,59,Directed,1,32.296098,-90.213209,32.295699,-90.213209,145.5693125,180,180
6,59,164,Directed,1,32.295699,-90.213209,32.295622,-90.213595,122.310805,-103.2781246,257
7,60,61,Directed,1,32.296266,-90.213209,32.296207,-90.212361,262.402744,94.70512007,95
8,61,62,Directed,1,32.296207,-90.212361,32.29651,-90.212184,123.2877663,26.27949774,26
9,62,161,Directed,1,32.29651,-90.212184,32.296683,-90.212238,65.27635111,-14.78056748,345
10,62,32,Directed,1,32.29651,-90.212184,32.296569,-90.212393,67.95409612,-71.53255053,288
11,55,29,Directed,1,32.2972,-90.213209,32.297218,-90.213085,38.80229479,80.25561125,80
12,163,23,Directed,1,32.297159,-90.213681,32.297286,-90.213686,46.35818265,-1.906044036,358
13,56,5,Directed,1,32.296905,-90.213209,32.2969,-90.21301,61.39765951,91.7025193,92
14,57,4,Directed,1,32.296501,-90.213209,32.296524,-90.213085,39.15079558,77.6236428,78
15,58,19,Directed,1,32.296098,-90.213209,32.296102,-90.21301,61.38817725,88.6377566,89
16,59,2,Directed,1,32.295699,-90.213209,32.295712,-90.213085,38.53381566,82.92995146,83
17,164,42,Directed,1,32.295622,-90.213595,32.295749,-90.213579,46.59616471,6.07878435,6
18,161,162,Directed,1,32.296683,-90.212238,32.297145,-90.211567,266.8908675,50.8355629,51
19,162,99,Directed,1,32.297145,-90.211567,32.297472,-90.211551,119.4034688,2.368376704,2
20,162,98,Directed,1,32.297145,-90.211567,32.297349,-90.21132,106.4965765,45.66421556,46
21,62,63,Directed,1,32.29651,-90.212184,32.29651,-90.21132,266.4517203,89.99976918,90
22,162,63,Directed,1,32.297145,-90.211567,32.29651,-90.21132,243.872023,161.799152,162
23,98,63,Directed,1,32.297349,-90.21132,32.29651,-90.21132,306.0966869,180,180
24,63,64,Directed,1,32.29651,-90.21132,32.296374,-90.211186,64.57323325,140.2102598,140
25,64,65,Directed,1,32.296374,-90.211186,32.296374,-90.210398,243.0139468,89.99978949,90
26,65,180,Directed,1,32.296374,-90.210398,32.297544,-90.210398,426.857293,0,0
27,65,66,Directed,1,32.296374,-90.210398,32.296374,-90.209808,181.951976,89.99984238,90
28,66,68,Directed,1,32.296374,-90.209808,32.296374,-90.20947,104.2368799,89.9999097,90
29,68,69,Directed,1,32.296374,-90.20947,32.296374,-90.209207,81.10745782,89.99992974,90
30,66,67,Directed,1,32.296374,-90.209808,32.296247,-90.209872,50.36269271,-156.9271394,203
31,67,48,Directed,1,32.296247,-90.209872,32.296157,-90.209888,33.2051273,-171.4538174,189
32,69,70,Directed,1,32.296374,-90.209207,32.296452,-90.208906,97.08996625,72.95632069,73
33,70,31,Directed,1,32.296452,-90.208906,32.296261,-90.20896,71.64465437,-166.5592986,193
34,70,71,Directed,1,32.296452,-90.208906,32.296442,-90.208515,120.6374841,91.73292171,92
35,71,40,Directed,1,32.296442,-90.208515,32.296325,-90.208612,52.12355911,-144.9771799,215
36,71,81,Directed,1,32.296442,-90.208515,32.295839,-90.208515,219.9956421,180,180
37,81,167,Directed,1,32.295839,-90.208515,32.295839,-90.208799,87.58428354,-89.99992413,270
38,167,45,Directed,1,32.295839,-90.208799,32.295839,-90.208912,34.84755516,-89.99996981,270
39,71,72,Directed,1,32.296442,-90.208515,32.296873,-90.208515,157.2440378,0,0
40,72,73,Directed,1,32.296873,-90.208515,32.296873,-90.208778,81.10626157,-89.99992974,270
41,73,12,Directed,1,32.296873,-90.208778,32.296764,-90.208778,39.76674248,180,180
42,72,74,Directed,1,32.296873,-90.208515,32.297544,-90.208515,244.8043876,0,0
43,165,44,Directed,1,32.297544,-90.210671,32.297776,-90.210682,84.70949958,-2.295074992,358
44,165,24,Directed,1,32.297544,-90.210671,32.2971,-90.210666,161.994059,179.4546169,179
45,99,100,Directed,1,32.297472,-90.211551,32.297658,-90.21153,68.16792774,5.451526573,5
46,100,104,Directed,1,32.297658,-90.21153,32.297748,-90.211766,79.84517209,-65.71706094,294
47,104,43,Directed,1,32.297748,-90.211766,32.29788,-90.211776,48.25732592,-3.66401748,356
48,104,105,Directed,1,32.297748,-90.211766,32.297658,-90.212174,130.0374057,-104.6258141,255
49,105,106,Directed,1,32.297658,-90.212174,32.2991,-90.212211,526.21623,-1.242471923,359
50,106,107,Directed,1,32.2991,-90.212211,32.298809,-90.212645,170.8339259,-128.422895,232
51,107,18,Directed,1,32.298809,-90.212645,32.298737,-90.212656,26.48736265,-172.6416036,187
52,106,108,Directed,1,32.2991,-90.212211,32.299258,-90.211728,159.7143416,68.84326483,69
53,108,38,Directed,1,32.299258,-90.211728,32.299417,-90.211739,58.10709434,-3.34670887,357
54,108,109,Directed,1,32.299258,-90.211728,32.299204,-90.21132,127.3535086,98.89905387,99
55,109,119,Directed,1,32.299204,-90.21132,32.299204,-90.211106,65.99403228,89.99994283,90
56,106,119,Directed,1,32.2991,-90.212211,32.299204,-90.211106,342.8706265,83.64620313,84
57,119,118,Directed,1,32.299204,-90.211106,32.298982,-90.211106,80.9937353,180,180
58,118,116,Directed,1,32.298982,-90.211106,32.298728,-90.211106,92.66821564,180,180
59,116,103,Directed,1,32.298728,-90.211106,32.298333,-90.211106,144.1096605,180,180
60,103,102,Directed,1,32.298333,-90.211106,32.297844,-90.211106,178.4044104,180,180
61,109,101,Directed,1,32.299204,-90.21132,32.297839,-90.21132,498.0001535,180,180
62,101,100,Directed,1,32.297839,-90.21132,32.297658,-90.21153,92.49215174,-135.5577833,224
63,101,102,Directed,1,32.297839,-90.21132,32.297844,-90.211106,66.02049045,88.41663014,88
64,102,165,Directed,1,32.297844,-90.211106,32.297544,-90.210671,173.1342277,129.2104212,129
65,98,165,Directed,1,32.297349,-90.21132,32.297544,-90.210671,212.4133901,70.43174112,70
66,165,180,Directed,1,32.297544,-90.210671,32.297544,-90.210398,84.19019921,89.99992707,90
67,180,166,Directed,1,32.297544,-90.210398,32.297544,-90.209888,157.278896,89.99986375,90
68,166,76,Directed,1,32.297544,-90.209888,32.297544,-90.209647,74.32206321,89.99993561,90
69,76,75,Directed,1,32.297544,-90.209647,32.297544,-90.209062,180.4080966,89.99984371,90
70,75,74,Directed,1,32.297544,-90.209062,32.297544,-90.208515,168.688969,89.99985386,90
71,74,83,Directed,1,32.297544,-90.208515,32.297544,-90.208257,79.56458667,89.99993107,90
72,83,84,Directed,1,32.297544,-90.208257,32.297544,-90.207909,107.31972,89.99990703,90
73,84,85,Directed,1,32.297544,-90.207909,32.297544,-90.207619,89.43303975,89.99992252,90
74,85,86,Directed,1,32.297544,-90.207619,32.297544,-90.207308,95.90908311,89.99991691,90
75,86,93,Directed,1,32.297544,-90.207308,32.297544,-90.206975,102.6938227,89.99991104,90
76,93,128,Directed,1,32.297544,-90.206975,32.297522,-90.206058,282.9074607,91.62551459,92
77,166,37,Directed,1,32.297544,-90.209888,32.297259,-90.209867,104.1791541,176.4359744,176
78,76,77,Directed,1,32.297544,-90.209647,32.297839,-90.20954,112.5713182,17.04521264,17
79,77,27,Directed,1,32.297839,-90.20954,32.298052,-90.209529,77.78441508,2.499543349,2
80,77,78,Directed,1,32.297839,-90.20954,32.297839,-90.209143,122.4305283,89.99989394,90
81,75,14,Directed,1,32.297544,-90.209062,32.297721,-90.209073,64.66632373,-3.007081619,357
82,78,79,Directed,1,32.297839,-90.209143,32.298356,-90.209143,188.6198059,0,0
83,79,13,Directed,1,32.298356,-90.209143,32.298451,-90.209143,34.66050906,0,0
84,79,80,Directed,1,32.298356,-90.209143,32.298356,-90.208746,122.4297358,89.99989394,90
85,80,121,Directed,1,32.298356,-90.208746,32.298569,-90.208746,77.71016263,0,0
86,83,30,Directed,1,32.297544,-90.208257,32.297762,-90.208252,79.54873242,1.110666628,1
87,84,129,Directed,1,32.297544,-90.207909,32.297186,-90.207893,130.7042227,177.8364953,178
88,129,9,Directed,1,32.297186,-90.207893,32.297209,-90.208,34.04765016,-75.73230444,284
89,129,130,Directed,1,32.297186,-90.207893,32.296764,-90.207823,155.4665143,172.0183463,172
90,130,8,Directed,1,32.296764,-90.207823,32.296769,-90.207936,34.89624536,-87.00349082,273
91,81,82,Directed,1,32.295839,-90.208515,32.295699,-90.207764,237.1704976,102.4364262,102
92,130,97,Directed,1,32.296764,-90.207823,32.296415,-90.207228,223.343147,124.7568673,125
93,97,168,Directed,1,32.296415,-90.207228,32.296325,-90.207228,32.83489663,180,180
94,168,26,Directed,1,32.296325,-90.207228,32.296216,-90.207233,39.79600963,-177.779463,182
95,96,97,Directed,1,32.296415,-90.206788,32.296415,-90.207228,135.6931401,-89.99988245,270
96,93,92,Directed,1,32.297544,-90.206975,32.298569,-90.207024,374.2613735,-2.313964811,358
97,92,91,Directed,1,32.298569,-90.207024,32.298569,-90.207973,292.6586413,-89.99974646,270
98,91,90,Directed,1,32.298569,-90.207973,32.298283,-90.207962,104.3982493,178.1379307,178
99,90,28,Directed,1,32.298283,-90.207962,32.298388,-90.208118,61.49634615,-51.4703717,309
100,91,121,Directed,1,32.298569,-90.207973,32.298569,-90.208746,238.3828043,-89.99979348,270
101,90,84,Directed,1,32.298283,-90.207962,32.297544,-90.207909,270.1082026,176.5308273,177
102,85,87,Directed,1,32.297544,-90.207619,32.297853,-90.207464,122.448754,22.97736061,23
103,87,88,Directed,1,32.297853,-90.207464,32.297989,-90.207362,58.74808017,32.37307279,32
104,88,169,Directed,1,32.297989,-90.207362,32.297998,-90.207458,29.78731732,-83.67116953,276
105,169,3,Directed,1,32.297998,-90.207458,32.298125,-90.207469,46.45853421,-4.187334654,356
106,87,89,Directed,1,32.297853,-90.207464,32.297989,-90.20756,57.77805803,-30.82319624,329
107,89,169,Directed,1,32.297989,-90.20756,32.297998,-90.207458,31.62779168,84.04068879,84
108,87,86,Directed,1,32.297853,-90.207464,32.297544,-90.207308,122.5699258,156.8898363,157
109,93,94,Directed,1,32.297544,-90.206975,32.297154,-90.20683,149.1471801,162.553425,163
110,94,95,Directed,1,32.297154,-90.20683,32.296751,-90.20683,147.0283315,180,180
111,95,96,Directed,1,32.296751,-90.20683,32.296415,-90.206788,123.2669098,173.9683985,174
112,96,131,Directed,1,32.296415,-90.206788,32.296415,-90.206621,51.50185913,89.99995539,90
113,95,16,Directed,1,32.296751,-90.20683,32.296764,-90.206664,51.41135275,84.7068187,85
114,94,1,Directed,1,32.297154,-90.20683,32.297177,-90.206637,60.10805994,81.97512582,82
115,128,46,Directed,1,32.297522,-90.206058,32.297662,-90.206058,51.07717423,0,0
116,113,50,Directed,1,32.299789,-90.210183,32.299902,-90.210178,41.25523738,2.141921462,2
117,111,39,Directed,1,32.299403,-90.210441,32.299394,-90.210264,54.68255626,93.44245863,93
118,118,51,Directed,1,32.298982,-90.211106,32.299063,-90.21095,56.46078109,58.43849589,58
119,103,20,Directed,1,32.298333,-90.211106,32.298388,-90.210881,72.23000285,73.87067745,74
120,119,127,Directed,1,32.299204,-90.211106,32.299594,-90.211106,142.2856886,0,0
121,127,126,Directed,1,32.299594,-90.211106,32.300337,-90.211106,271.0725605,0,0
122,126,124,Directed,1,32.300337,-90.211106,32.300337,-90.20756,1093.516047,89.99905258,90
123,124,125,Directed,1,32.300337,-90.20756,32.300533,-90.207582,71.82859473,-5.419758188,355
124,125,52,Directed,1,32.300533,-90.207582,32.300533,-90.207415,51.49809121,89.99995538,90
125,124,123,Directed,1,32.300337,-90.20756,32.300337,-90.205747,559.0932415,89.99951561,90
126,128,177,Directed,1,32.297522,-90.206058,32.297572,-90.205682,117.3804966,81.05950181,81
127,177,178,Directed,1,32.297572,-90.205682,32.297603,-90.2055,57.25597041,78.60708694,79
128,178,41,Directed,1,32.297603,-90.2055,32.297667,-90.205318,60.79020686,67.41204835,67
129,177,122,Directed,1,32.297572,-90.205682,32.298569,-90.205704,363.8040892,-1.068557544,359
130,122,123,Directed,1,32.298569,-90.205704,32.300337,-90.205747,645.165024,-1.17770712,359
131,122,176,Directed,1,32.298569,-90.205704,32.298569,-90.205962,79.56397695,-89.99993107,270
132,176,175,Directed,1,32.298569,-90.205962,32.298796,-90.205967,82.83204443,-1.066629606,359
133,175,15,Directed,1,32.298796,-90.205967,32.298887,-90.20601,35.75183741,-21.77247474,338
134,176,92,Directed,1,32.298569,-90.205962,32.298569,-90.207024,327.5063283,-89.99971627,270
135,177,138,Directed,1,32.297572,-90.205682,32.297399,-90.205817,75.61111587,-146.5904938,213
136,138,139,Directed,1,32.297399,-90.205817,32.29705,-90.205817,127.3276032,180,180
137,139,137,Directed,1,32.29705,-90.205817,32.296415,-90.205817,231.6703297,180,180
138,137,140,Directed,1,32.296415,-90.205817,32.296039,-90.205817,137.1779881,180,180
139,178,179,Directed,1,32.297603,-90.2055,32.297372,-90.205538,85.08777346,-172.0837005,188
140,179,147,Directed,1,32.297372,-90.205538,32.297059,-90.205538,114.1937678,180,180
141,139,147,Directed,1,32.29705,-90.205817,32.297059,-90.205538,86.10396729,87.81445536,88
142,137,141,Directed,1,32.296415,-90.205817,32.296415,-90.205538,86.04196968,89.99992547,90
143,147,141,Directed,1,32.297059,-90.205538,32.296415,-90.205538,234.9539196,180,180
144,137,134,Directed,1,32.296415,-90.205817,32.296415,-90.20608,81.10745782,-89.99992974,270
145,134,54,Directed,1,32.296415,-90.20608,32.296275,-90.20609,51.16921979,-176.5447714,183
146,141,170,Directed,1,32.296415,-90.205538,32.296415,-90.205312,69.69719847,89.99993962,90
147,147,142,Directed,1,32.297059,-90.205538,32.297041,-90.204508,317.7109586,91.18410371,91
148,142,171,Directed,1,32.297041,-90.204508,32.296955,-90.204341,60.3062747,121.3506922,121
149,171,17,Directed,1,32.296955,-90.204341,32.29695,-90.204181,49.37629495,92.11719219,92
150,171,143,Directed,1,32.296955,-90.204341,32.296778,-90.204481,77.67956746,-146.2336002,214
151,143,144,Directed,1,32.296778,-90.204481,32.296048,-90.204438,266.6595594,177.1495074,177
152,141,146,Directed,1,32.296415,-90.205538,32.296043,-90.205538,135.7185212,180,180
153,146,144,Directed,1,32.296043,-90.205538,32.296048,-90.204438,339.239214,89.69161049,90
154,140,146,Directed,1,32.296039,-90.205817,32.296043,-90.205538,86.05437278,89.02823811,89
155,131,134,Directed,1,32.296415,-90.206621,32.296415,-90.20608,166.8409064,89.99985547,90
156,131,132,Directed,1,32.296415,-90.206621,32.295889,-90.206632,191.9334568,-178.9872662,181
157,132,135,Directed,1,32.295889,-90.206632,32.295794,-90.206514,50.25469263,133.6040862,134
158,135,136,Directed,1,32.295794,-90.206514,32.295826,-90.20624,85.30301434,82.13363712,82
159,136,22,Directed,1,32.295826,-90.20624,32.295794,-90.206133,35.00312538,109.4836279,109
160,132,133,Directed,1,32.295889,-90.206632,32.295649,-90.206766,96.82278008,-154.7345333,205
161,133,34,Directed,1,32.295649,-90.206766,32.295613,-90.206734,16.43221619,143.0795212,143
162,82,133,Directed,1,32.295699,-90.207764,32.295649,-90.206766,308.319463,93.391628,93
163,146,148,Directed,1,32.296043,-90.205538,32.295304,-90.20476,360.9136567,138.3335176,138
164,148,145,Directed,1,32.295304,-90.20476,32.2953,-90.204502,79.57982817,91.05068364,91
165,145,154,Directed,1,32.2953,-90.204502,32.295322,-90.204116,119.3120193,86.14256103,86
166,154,172,Directed,1,32.295322,-90.204116,32.29525,-90.204095,27.05634693,166.150078,166
167,172,53,Directed,1,32.29525,-90.204095,32.295127,-90.204079,45.14623675,173.7250412,174
168,148,149,Directed,1,32.295304,-90.20476,32.294665,-90.204824,233.9636458,-175.1606824,185
169,149,151,Directed,1,32.294665,-90.204824,32.294411,-90.204819,92.68077884,179.046684,179
170,151,152,Directed,1,32.294411,-90.204819,32.294139,-90.204808,99.29344634,178.0420723,178
171,152,153,Directed,1,32.294139,-90.204808,32.294139,-90.203923,272.9352515,89.99976359,90
172,153,49,Directed,1,32.294139,-90.203923,32.29418,-90.203639,88.85400997,80.30824617,80
173,151,47,Directed,1,32.294411,-90.204819,32.294447,-90.204701,38.68835612,70.15479556,70
174,149,150,Directed,1,32.294665,-90.204824,32.294669,-90.205141,97.77408906,-89.14470232,271
175,150,36,Directed,1,32.294669,-90.205141,32.294511,-90.205146,57.66459705,-178.4676797,182
176,144,145,Directed,1,32.296048,-90.204438,32.2953,-90.204502,273.6094819,-175.8632503,184
177,154,155,Directed,1,32.295322,-90.204116,32.295309,-90.203794,99.41746615,92.73434208,93
178,155,156,Directed,1,32.295309,-90.203794,32.295381,-90.203456,107.4967707,75.85581332,76
179,156,158,Directed,1,32.295381,-90.203456,32.295477,-90.203306,58.02271099,52.86973492,53
180,158,157,Directed,1,32.295477,-90.203306,32.294647,-90.201707,578.6809659,121.5522238,122
181,157,25,Directed,1,32.294647,-90.201707,32.294552,-90.201686,35.25721484,169.415851,169
182,157,159,Directed,1,32.294647,-90.201707,32.295046,-90.201568,151.7499881,16.408683,16
183,159,10,Directed,1,32.295046,-90.201568,32.295046,-90.201235,102.6961846,89.99991104,90
184,159,174,Directed,1,32.295046,-90.201568,32.295604,-90.201568,203.5779605,0,0
185,174,6,Directed,1,32.295604,-90.201568,32.295604,-90.201455,34.84894725,89.99996981,90
186,174,173,Directed,1,32.295604,-90.201568,32.295821,-90.201568,79.16911606,0,0
187,173,7,Directed,1,32.295821,-90.201568,32.295821,-90.201783,66.30424903,-89.99994256,270
188,173,160,Directed,1,32.295821,-90.201568,32.296161,-90.201568,124.043696,0,0
189,160,11,Directed,1,32.296161,-90.201568,32.296161,-90.201654,26.5221386,-89.99997703,270
190,127,112,Directed,1,32.299594,-90.211106,32.299594,-90.210645,142.1642593,89.99987683,90
191,112,111,Directed,1,32.299594,-90.210645,32.299403,-90.210441,93.88005143,137.9242933,138
192,111,110,Directed,1,32.299403,-90.210441,32.299204,-90.210628,92.7184582,-141.5399262,218
193,110,119,Directed,1,32.299204,-90.210628,32.299204,-90.211106,147.4079437,-89.99987229,270
194,112,113,Directed,1,32.299594,-90.210645,32.299789,-90.210183,159.2474148,63.46489882,63
195,113,114,Directed,1,32.299789,-90.210183,32.299598,-90.209776,143.5578735,119.0387452,119
196,110,115,Directed,1,32.299204,-90.210628,32.298728,-90.210221,214.2702641,144.1426474,144
197,116,115,Directed,1,32.298728,-90.211106,32.298728,-90.210221,272.9213873,89.99976356,90
198,115,117,Directed,1,32.298728,-90.210221,32.298569,-90.210232,58.10876406,-176.6532599,183
199,117,120,Directed,1,32.298569,-90.210232,32.298569,-90.209813,129.2144386,89.99988806,90
200,120,121,Directed,1,32.298569,-90.209813,32.298569,-90.208746,329.0480911,89.99971493,90
201,114,115,Directed,1,32.299598,-90.209776,32.298728,-90.210221,345.8024515,-156.618612,203
202,96,33,Directed,1,32.296415,-90.206788,32.296306,-90.206782,39.80941655,177.3359448,177
203,82,35,Directed,1,32.295699,-90.207764,32.295554,-90.207758,52.93350019,177.9967211,178
204,170,21,Directed,1,32.296415,-90.205312,32.296415,-90.205189,37.93238174,89.99996714,90
